"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"classicFisher"
"60"	"GO:0044042"	"glucan metabolic process"	48	5	1.36	"0.01094"
"61"	"GO:0006672"	"ceramide metabolic process"	6	2	0.17	"0.01107"
"62"	"GO:0009303"	"rRNA transcription"	6	2	0.17	"0.01107"
"63"	"GO:0042126"	"nitrate metabolic process"	6	2	0.17	"0.01107"
"64"	"GO:0042128"	"nitrate assimilation"	6	2	0.17	"0.01107"
"65"	"GO:2001057"	"reactive nitrogen species metabolic proc..."	6	2	0.17	"0.01107"
"66"	"GO:0051235"	"maintenance of location"	32	4	0.91	"0.01198"
"67"	"GO:0050657"	"nucleic acid transport"	68	6	1.92	"0.01205"
"68"	"GO:0050658"	"RNA transport"	68	6	1.92	"0.01205"
"69"	"GO:0051236"	"establishment of RNA localization"	68	6	1.92	"0.01205"
"70"	"GO:0010520"	"regulation of reciprocal meiotic recombi..."	7	2	0.2	"0.01522"
"71"	"GO:0044264"	"cellular polysaccharide metabolic proces..."	53	5	1.5	"0.01638"
"72"	"GO:0006638"	"neutral lipid metabolic process"	8	2	0.23	"0.01992"
"73"	"GO:0006639"	"acylglycerol metabolic process"	8	2	0.23	"0.01992"
"74"	"GO:0006641"	"triglyceride metabolic process"	8	2	0.23	"0.01992"
"75"	"GO:0007231"	"osmosensory signaling pathway"	8	2	0.23	"0.01992"
"76"	"GO:0060631"	"regulation of meiosis I"	8	2	0.23	"0.01992"
"77"	"GO:0006403"	"RNA localization"	77	6	2.18	"0.02122"
"78"	"GO:0009064"	"glutamine family amino acid metabolic pr..."	38	4	1.08	"0.02158"
"79"	"GO:0071166"	"ribonucleoprotein complex localization"	57	5	1.61	"0.02185"
"80"	"GO:0071426"	"ribonucleoprotein complex export from nu..."	57	5	1.61	"0.02185"
"81"	"GO:0065008"	"regulation of biological quality"	247	13	6.99	"0.02217"
"82"	"GO:0010563"	"negative regulation of phosphorus metabo..."	22	3	0.62	"0.02307"
"83"	"GO:0045936"	"negative regulation of phosphate metabol..."	22	3	0.62	"0.02307"
"84"	"GO:0071470"	"cellular response to osmotic stress"	22	3	0.62	"0.02307"
"85"	"GO:0006405"	"RNA export from nucleus"	59	5	1.67	"0.02499"
"86"	"GO:0006536"	"glutamate metabolic process"	9	2	0.25	"0.02514"
"87"	"GO:0072329"	"monocarboxylic acid catabolic process"	23	3	0.65	"0.02599"
"88"	"GO:0015931"	"nucleobase-containing compound transport"	82	6	2.32	"0.02796"
"89"	"GO:0000412"	"histone peptidyl-prolyl isomerization"	1	1	0.03	"0.02829"
"90"	"GO:0001079"	"nitrogen catabolite regulation of transc..."	1	1	0.03	"0.02829"
"91"	"GO:0001080"	"nitrogen catabolite activation of transc..."	1	1	0.03	"0.02829"
"92"	"GO:0006659"	"phosphatidylserine biosynthetic process"	1	1	0.03	"0.02829"
"93"	"GO:0006809"	"nitric oxide biosynthetic process"	1	1	0.03	"0.02829"
"94"	"GO:0007039"	"protein catabolic process in the vacuole"	1	1	0.03	"0.02829"
"95"	"GO:0010511"	"regulation of phosphatidylinositol biosy..."	1	1	0.03	"0.02829"
"96"	"GO:0010512"	"negative regulation of phosphatidylinosi..."	1	1	0.03	"0.02829"
"97"	"GO:0010846"	"activation of reciprocal meiotic recombi..."	1	1	0.03	"0.02829"
"98"	"GO:0010848"	"regulation of chromatin disassembly"	1	1	0.03	"0.02829"
"99"	"GO:0019660"	"glycolytic fermentation"	1	1	0.03	"0.02829"
"100"	"GO:0019666"	"nitrogenous compound fermentation"	1	1	0.03	"0.02829"
